CENTRE,8.5 Herb 8,1L Herb 8,Straw 9,Straw 10,Straw 11,Straw 12,Straw 13,Straw 14,Straw 15,Straw 16,Straw 17,Straw 18,Straw 19,Straw 20,Straw 21,Straw 22,8.5cm Straw 9,8.5cm Straw 10,8.5cm Straw 11,8.5cm Straw 12,8.5cm Straw 13,8.5cm Straw 14,8.5cm Straw 15,8.5cm Straw 16,8.5cm Straw 17,8.5cm Straw 18,8.5cm Straw 19,8.5cm Straw 20,8.5cm Straw 21,8.5cm Straw 22,SPEA 9,SPEA 10,SPEA 11,SPEA 12,SPEA 13,SPEA 14,SPEA 15,SPEA 16,SPEA 17,SPEA 18,SPEA 19,8.5cm S/Peas 10,8.5cm S/Peas 11,8.5cm S/Peas 12,8.5cm S/Peas 13,8.5cm S/Peas 14,8.5cm S/Peas 15,8.5cm S/Peas 16,8.5cm S/Peas 17,8.5cm S/Peas 18,8.5cm S/Peas 19,Grafted 14,Grafted 16,Grafted 18,Grafted Chilli 14,Grafted Chilli 16,Grafted Chilli 18,Dyna Chilli 15,Dyna Chilli 17,P/Bean 15,P/Bean 17,P/Bean 19,Sweet Potato 17,Heritage Tom 18,Heritage Tom 20,1L Veg 20,1L Veg 22,Autumn Strip,Wildflower Week 12
Adrian Hall  Feltham,,,15,,15,,15,,15,15,,,,,,,16,,,,,,16,,,,,,,,15,,,,15,,15,,,,,,,,,,,,,,,20,,,,,,16,,,,,12,,,,,,
Almondsbury Garden Centre,,,60,,30,,60,,30,,60,,,,,,,,,,,,,,,,,,,,30,,30,,30,,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altons,,,15,,15,,15,,15,,,,,,,,16,,,,,,,,,,,,,,,15,,,15,,16,,,,,16,,,,,,,,,,20,20,,3,3,3,16,16,,16,,,16,,30,,,
Ansell Garden Centre,,,,15,,,15,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,3,,16,,,16,,16,16,,20,,30,
Archers Low Nursery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,16,,16,,16,,,,,,,,,,,,,,,,,,,,,
Avon Mill Garden Ltd,,,,,,,,,,,,,,,,,,,,,,16,16,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,16,,,,,,,,,
Aylett Nurseries,,,15,,15,,30,,30,15,30,,,,,,16,,16,,16,,30,,30,,30,,,,,15,,15,,15,15,15,15,,,,16,16,,,16,,16,,16,40,60,40,6,6,6,30,16,,30,16,30,30,,30,30,60,16
Aylings,,,,15,,,,,,,,,,,,,,16,,,,,16,,,,,,,,,15,,,,,,,,,,16,,,,,,,,,,20,,,3,,,16,,16,16,,,16,,,,,
Bell Plantation,,,15,,,,9,,,,15,,,,,,0,,,,10,,,,16,,,,16,,15,,,,9,,,,15,,,,,,10,,,,16,,,20,,20,3,,,16,,16,,16,8,16,,30,20,,
Birchen Grove,,,,,,15,,,30,,,,,,,,,16,,,30,,,,30,,,,,,,,,15,,,15,,,,,,,,,,,,,,,30,30,,3,3,,30,30,16,16,,8,30,,40,40,30,
Birkacre,,,,,,,15,,15,,15,,,,,,,,,,16,,,,16,,,,,,,,,,15,,,,15,,,,,,,,,,,,,30,30,,3,,,16,,,,,8,16,,20,,,
Blackbrooks Hastings St Leonards,,,,,15,,15,,15,,15,,,,,,,,,,16,,,,16,,,,,,,,15,,15,,15,,,,,,,,,,16,,,,,,20,,,3,,16,,,16,16,,16,,30,30,,
Blackbrooks Lower Dicker,,,,,15,,15,,15,,15,,,,,,,,,,16,,,,16,,,,,,,,15,,15,,15,,,,,,,,,,16,,,,,,20,,,3,,16,,,16,16,,16,,30,30,,
Blackbrooks Sedlescombe,,,,,15,,15,,15,,15,,,,,,,,,,16,,,,16,,,,,,,,15,,15,,15,,,,,,,,,,16,,,,,,20,30,,3,,16,,,16,16,,16,,30,30,,
Blue Diamond,,,856,120,120,120,132,120,836,120,120,836,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,880,540,,,,210,30,,,,420,,,,,,
Bosworths Garden Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,16,,16,16,16,,16,,30,30,,3,3,,16,16,,,,30,,,20,,,
Bow Garden and Aquatic Centre,,,,9,,,,,,,,,,,,,,8,,,4,,,,,,,,,,,9,,,9,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley Fold,,,30,,,,,30,,,,,,,,,,15,,,,15,,,,15,,,,,30,,,,,30,,,15,,,15,,,,30,,,,15,,,,,,,,16,16,,16,,4,16,,20,20,,30
Brimsmore Gardens,,,,,,30,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,16,,,,,,16,,20,,,
British GC ,,,,,,,,600,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,525,50,50,50,,,,,,,,,,,,,568,140,,228,60,,224,864,,720,,156,,,,,,
Brondesbury Park,,,,,,15,,,15,15,,,,,,,,,,,,,,,,,,,,,,,,15,,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,,
Brookfields Garden Centre,,,15,,15,,15,,15,,15,,,,,,16,,,,16,,,,,16,,,,,,15,,,15,,15,,,,,16,,,,,16,,,,,20,,20,3,,,30,,16,16,,8,16,,30,,,
Brynawel Garden Centre,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,16,,,,,,,,,,,
Bumbles Plant Centre,,,,15,,15,,15,,,,,,,,,,,,,16,,,,,,,,,,,15,,15,,15,,,,,,,,,16,,,,,,,30,,,,3,,,,16,16,,8,16,,20,,,
Burford Garden Company,,,15,,,,,15,,,15,,,,,,30,,,,,16,,,,,,,,,15,,,15,15,,15,,15,,,,,,30,,30,,,,,40,40,20,3,3,3,16,16,16,,16,12,16,,30,20,,
Burstow Nurseries,,,,,,,,,,,,,,,,,,16,,,,,,,16,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,16,,,,,,,,,,
Caerphilly Garden Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,
